,z
0,-2.4613717
1,-1.3303772
2,-0.4666667
3,-0.81407714
4,1.3153806
5,-5.3830314
6,0.64362717
7,0.9214757
8,0.8319712
9,7.8610826
10,-3.736848
11,-4.559306
12,1.7923939
13,0.6895109
14,-5.0462756
15,-2.3406093
16,2.306353
17,2.3908174
18,-6.843869
19,-4.634887
20,-2.8283415
21,2.269791
22,-11.735545
23,1.517267
24,2.5355175
25,1.0315989
26,0.5252202
27,-0.6158966
28,0.59575117
29,-1.9739624
30,-2.2192352
31,5.947849
32,4.9502788
33,0.7845179
34,-2.7474008
35,-3.362509
36,0.12962633
37,-4.987665
38,-0.1547709
39,-0.68339247
40,-5.3259773
41,-2.294127
42,4.193557
43,-1.7496697
44,4.3758974
45,8.109154
46,3.7662559
47,1.591336
48,6.7144957
49,5.035634
50,4.446287
51,5.886705
52,3.2288437
53,-8.42898
54,3.6401362
