,z
0,-1.3215709
1,-1.0930445
2,-1.5313472
3,0.53745264
4,-3.2172613
5,5.255116
6,-1.3793725
7,2.1021214
8,1.6412382
9,3.8576279
10,2.281822
11,0.11452806
12,2.5558715
13,10.869287
14,-0.35931283
15,-4.8502493
16,6.999462
17,0.7155256
18,2.575807
19,-2.6889033
20,0.8188281
21,0.39875305
22,-1.1209075
23,-1.2154272
24,10.101379
25,-0.55919915
26,0.2487453
27,-1.8881319
28,-0.8487119
29,0.15408634
30,-9.014257
31,2.710039
32,0.46779034
33,0.3147289
34,-6.1087413
35,5.0240197
36,2.645992
37,0.029560242
38,5.0744596
39,-1.9799979
40,3.9397366
41,5.640879
42,-2.4669592
43,4.498051
44,1.3491753
45,-3.1030421
46,3.7170024
47,-0.07516937
48,-3.424176
49,-4.1326876
50,1.4825666
51,-2.8107684
52,4.4419355
53,-5.381984
54,4.0358796
55,3.5503802
56,7.7486753
57,-5.898014
58,5.8801246
59,3.2449281
60,8.768689
