,z
0,-5.5717244
1,1.6110603
2,-5.649674
3,-3.1871552
4,5.146333
5,-1.8171327
6,-5.518603
7,-0.6293766
8,-1.7246147
9,5.8599005
10,-5.9116335
11,3.0145953
12,-1.0740353
13,3.9675746
14,1.820757
15,1.9008727
16,6.7801514
17,1.5058737
18,-5.228067
19,3.1423101
20,-0.82009494
21,-1.0056616
22,-0.2727591
23,6.72742
24,3.488703
25,-6.0336533
26,-2.9807024
27,4.1473308
28,1.0297797
29,-2.0299904
30,2.6985028
31,-0.17985716
32,-5.9508367
33,4.760516
34,1.9888663
35,0.9214587
36,-5.8190727
37,-1.5057273
38,0.7745513
39,-3.0754306
40,-5.3728848
41,1.2149
42,-6.284088
43,5.4056926
44,6.342447
45,-5.4517064
46,0.6374358
47,0.084560566
48,-5.1846013
49,2.0725482
50,-3.3816192
51,-6.9763436
52,-7.9061527
53,-2.5308518
54,3.7408645
