,z
0,1.169989
1,1.285181
2,-3.0488243
3,0.7740649
4,0.47525898
5,0.93374306
6,-0.7775578
7,4.669555
8,4.810229
9,0.64568913
10,-3.3660517
11,-0.10425321
12,2.6104896
13,-1.6863588
14,4.941776
15,-1.7119254
16,-3.5549035
17,0.38789034
18,-3.9124277
19,0.84886116
20,-2.9951217
21,3.6072226
22,-2.0931728
23,0.16565451
24,-1.225969
25,8.291915
26,1.9186612
27,1.5821078
28,-1.5064149
29,1.4401926
30,2.1584692
31,-2.661147
32,2.888714
33,1.6870078
34,2.4704034
35,2.0711164
36,-5.743423
37,8.045916
38,-10.045825
39,-1.1514148
40,-9.142431
41,11.944672
