,z
0,1.8897314
1,9.267777
2,-0.91018754
3,-1.1718476
4,8.29977
5,2.907583
6,-0.51832294
7,-2.1173422
8,5.7426043
9,4.9779654
10,-4.9625587
11,0.07723426
12,-2.0258844
13,-7.18535
14,6.958626
15,5.795235
16,-2.6075242
17,0.35189018
18,-0.49270374
19,-4.577347
20,0.8514511
21,-2.525231
22,5.860626
23,0.63012314
24,-6.488189
25,3.311574
26,3.7615113
27,1.0221671
28,-5.791534
29,-3.527774
30,5.8804636
31,0.8792967
32,0.29123074
33,2.4582806
34,1.2397608
35,-2.4006364
36,-1.3583466
37,-4.220528
38,1.8176308
39,5.9733787
40,0.14012343
41,3.6762226
42,-0.64514613
43,6.17196
44,-3.4813392
45,-5.1125774
46,0.6916484
47,1.766016
48,0.18572196
49,2.530579
50,2.8624744
51,-0.33948314
52,-0.45258826
53,1.770205
54,6.039934
55,2.7913668
56,4.236019
57,-5.643619
58,2.008052
59,1.3824462
60,-5.811201
61,-1.4330039
62,0.4442618
63,-1.3608391
64,-0.7232935
65,3.8528607
66,6.386859
67,3.1186988
68,0.7629575
69,-3.3082664
