,z
0,6.54362
1,1.9983264
2,3.7457142
3,1.0060611
4,2.5455134
5,3.8472192
6,0.4701848
7,-3.2722402
8,-4.6563177
9,1.1521211
10,5.9979696
11,-0.21410023
12,7.917504
13,-4.94896
14,-5.0514307
15,1.1083975
16,7.642112
17,-5.747576
18,2.8101466
19,-1.2524455
20,1.1808391
21,0.33759105
22,3.7689269
23,-3.043635
24,2.561993
25,-0.22740468
26,0.2597514
27,-2.0263932
28,2.1003306
29,-0.22650121
30,1.9811459
31,-1.7397072
32,-6.7081647
33,-4.2292295
34,-3.3987074
35,-2.3151822
36,-1.4164854
37,0.30688444
38,0.93783057
39,-0.58077836
40,3.4788008
41,4.272828
42,-0.82427436
43,0.93652487
44,-1.2880282
45,6.194372
46,1.6302387
47,1.2069921
48,2.3013043
49,-5.281174
50,-1.4722352
51,1.852286
52,-2.177363
53,-0.4587685
54,1.748859
