,z
0,-3.4378881
1,7.316291
2,-3.3612366
3,3.4996796
4,-4.0229125
5,-4.9114175
6,7.6404595
7,-4.396951
8,3.620198
9,1.9403379
10,-0.32770234
11,-2.8055089
12,-6.934917
13,1.6565783
14,2.495331
15,0.47655743
16,-0.12204949
17,-1.9961479
18,2.387392
19,1.0479474
20,-3.6275115
21,6.153971
22,5.9260635
23,-2.2365534
24,0.5352299
25,4.515775
26,3.704814
27,2.5726366
28,0.31036028
29,7.8208895
30,2.718577
31,-0.5778854
32,5.4821696
33,4.236885
34,5.5337863
35,7.4412155
36,-0.7299901
37,4.600595
38,1.1911596
39,4.6725373
40,5.3377185
