,z
0,5.70109
1,-2.9941413
2,-1.2374568
3,10.556733
4,-3.3961186
5,1.3477525
6,-4.319907
7,-1.3189456
8,2.553687
9,3.8311944
10,-0.43687215
11,3.7080128
12,-1.0275874
13,3.2993183
14,0.816312
15,-1.7506849
16,1.7977843
17,0.98918724
18,-3.6162324
19,2.7850425
20,-2.6733038
21,-4.2259574
22,5.432113
23,3.4541318
24,4.915529
25,0.5503803
26,-0.14001583
27,-0.34403378
28,3.1117501
29,-1.5061325
30,-0.017774196
31,-5.3031063
32,0.4249921
33,-2.585845
34,0.6815935
35,-7.4138
36,2.821809
37,-0.7681403
38,-4.896304
39,-1.4378973
40,-6.266581
41,-4.518891
42,-2.3140798
43,2.1495945
44,-5.770517
45,1.9630324
46,-3.7427888
47,4.4535565
48,-7.22697
49,8.221162
50,-8.152768
51,7.103109
52,-8.531085
