,z
0,1.732022
1,1.4461972
2,2.827361
3,1.830713
4,-1.7185225
5,4.9202933
6,2.7371264
7,-3.2355657
8,1.5558002
9,0.12716268
10,-1.5635989
11,-4.1140223
12,3.427173
13,-2.2763383
14,-2.9544756
15,1.9301941
16,2.5088756
17,4.8199
18,-2.441497
19,-0.84648806
20,-2.4824176
21,-0.34539348
22,2.6323307
23,4.656757
24,0.4483198
25,2.2557244
26,2.691324
27,-1.2671045
28,4.0148253
29,5.08397
30,-6.3445463
31,-6.595805
32,6.2040987
33,3.5968604
34,-0.28488907
35,2.1258137
36,5.999824
37,3.9746842
38,0.031102639
39,1.387851
40,4.97769
41,-4.007598
42,0.68706954
43,2.925757
44,3.388455
45,0.5575385
46,3.735773
47,2.3183
48,1.6008874
49,-0.9049829
50,3.1738806
51,3.4820218
52,-4.732005
53,3.2694185
54,-6.777954
55,-8.330287
56,1.1179751
57,-0.72637653
58,-1.4186802
59,-5.19502
60,-2.8967042
61,5.7550936
62,1.33412
63,-1.6117396
64,0.6407715
65,7.5206923
66,-5.9186625
67,-3.557126
68,2.9980476
69,-2.7499518
70,-4.6249285
71,-1.9101166
72,7.413393
73,-9.77266
74,-0.07247915
75,-1.1903934
76,5.4710402
77,0.7678973
78,-7.374967
79,-0.18890966
80,-10.371324
81,-7.844427
82,7.804286
