,z
0,0.49822292
1,0.5369135
2,0.4059977
3,1.8538607
4,3.4668145
5,-5.4877687
6,0.03480727
7,-4.7131205
8,-4.2182326
9,0.6302721
10,3.9823725
11,2.3235197
12,-0.19993004
13,1.8188056
14,-0.8926666
15,-2.5136273
16,4.626055
17,4.576144
18,2.2798798
19,-0.36376244
20,0.9442627
21,3.5960968
22,4.285249
23,2.2075987
24,4.7579765
25,-4.016305
26,-1.1341468
27,1.994219
28,-3.2842157
29,4.7002563
30,-4.605584
31,1.2577685
32,0.813033
33,-3.7615254
34,-5.754018
35,1.1575794
36,5.979296
37,2.8120651
38,7.962541
39,-1.7680844
40,-3.074753
41,-1.8470353
42,5.1948466
43,3.1459596
44,6.662443
45,10.330648
