,z
0,4.2197685
1,4.459815
2,4.331806
3,0.06452685
4,-3.281533
5,1.4726348
6,6.714012
7,-0.49737996
8,-1.3760686
9,1.3070414
10,3.432245
11,-6.4087906
12,-2.038779
13,-2.3390567
14,3.9552655
15,-1.113723
16,3.063307
17,-1.2893468
18,1.368876
19,4.879508
20,-6.340439
21,2.5648453
22,0.41090685
23,0.8767488
24,-3.925275
25,-6.988626
26,1.5087669
27,-4.5257244
28,-1.4624842
29,-5.1391253
30,-1.0420148
31,-0.5932826
32,-6.2941084
33,-5.329119
34,6.763587
35,5.390841
36,0.83338004
37,0.71726143
38,-4.6426697
39,-9.253147
40,-0.36173764
41,2.8122869
42,2.0817945
43,2.8712947
44,5.2750373
45,4.0525947
46,-0.19359371
47,1.5879638
