,z
0,-1.1480172
1,-2.4774108
2,0.6263845
3,1.9152071
4,4.1429477
5,-2.3934834
6,0.7691553
7,-2.7703354
8,-2.5151992
9,3.6391153
10,-1.4551558
11,2.0153916
12,-2.823918
13,2.0783179
14,3.5487938
15,-1.494707
16,-3.844671
17,-0.11553982
18,4.785954
19,-1.6277832
20,-3.536881
21,-0.6278032
22,4.2257733
23,2.7440295
24,6.3350253
25,3.6787934
26,-0.14896353
27,5.096882
28,-0.83493656
29,-1.9235967
30,-1.5683244
31,2.6610248
32,3.38802
33,4.9416842
34,-2.616485
35,-3.3594923
36,-2.925419
37,-1.0505165
38,-0.8099005
39,2.7031147
40,-5.540761
41,3.3149922
42,-6.0064015
43,6.1571536
44,0.044545777
45,-3.660381
46,-5.386238
47,-3.0819182
48,-3.2770607
49,8.218353
50,4.3221188
51,4.5828385
52,-0.2642145
53,0.22466184
54,-7.1188254
55,0.344577
56,1.3799722
57,-2.0942929
58,-5.110871
59,5.9220586
60,7.425777
