,z
0,-3.4382737
1,4.509147
2,-3.367154
3,2.38836
4,2.9868927
5,2.7189262
6,2.501746
7,-0.5755651
8,5.346501
9,3.620715
10,0.3093884
11,0.3291895
12,-4.3967605
13,5.923812
14,3.3542538
15,4.612891
16,1.0697966
17,-1.993736
18,1.0431093
19,1.9486651
20,1.2045692
21,0.47703502
22,1.6585662
23,1.9364259
24,6.1556063
25,-3.6266062
26,1.9763671
27,-6.930567
28,-4.0221753
29,1.656077
30,3.5776527
31,-0.16961509
32,-0.32777497
33,5.532932
34,-4.910278
35,-0.69954
36,-2.2296767
37,2.575122
38,4.2303214
39,-2.801351
40,2.5440104
41,7.3153987
42,3.407684
43,3.7022882
44,-0.7497146
45,-0.12042682
46,3.4999685
47,1.2037588
48,7.640464
49,5.53523
