,z
0,3.228799
1,3.37305
2,3.335722
3,-3.8716521
4,-4.11928
5,1.3946248
6,-1.9034015
7,4.5196276
8,6.593295
9,5.4872837
10,2.4173002
11,6.3682833
12,-5.4619594
13,2.4489465
14,-2.7920082
15,-0.108743794
16,-0.5695791
17,0.7197137
18,3.710345
19,-2.2545125
20,-0.3439311
21,-2.9266193
22,-5.2547956
23,0.41974095
24,-0.92343086
25,-3.2955906
26,-3.0337992
27,-4.8449244
28,-1.1301311
29,4.951927
30,6.655326
31,2.3899398
32,11.385961
33,-5.074897
34,0.4836272
35,-4.235339
36,-0.4618364
37,-0.6176894
38,-1.9565614
39,7.3228827
40,1.0953499
41,5.355351
42,5.814125
43,-3.4932535
44,5.590714
45,0.19423994
46,2.5987105
47,4.0677476
48,2.0446692
49,4.768596
50,6.8663645
51,2.9831326
52,-2.6702778
53,-4.731548
54,8.570584
55,7.511909
