,z
0,-3.5878127
1,-3.6476388
2,-3.5516596
3,0.21161427
4,0.6618995
5,0.9993996
6,-0.5929537
7,-1.3554062
8,-0.9461916
9,-0.8284578
10,1.4660523
11,2.5384035
12,2.890948
13,1.5061586
14,1.1988751
15,-6.8025117
16,-0.7764369
17,0.6367022
18,-1.3141518
19,-1.3992481
20,1.6733258
21,-2.1852224
22,-5.4461455
23,0.4401613
24,-1.6478581
25,2.8601255
26,1.0850925
27,-3.4466262
28,-0.20456327
29,-0.13067982
30,-2.347949
31,-0.43554893
32,-2.9874666
33,3.3577893
34,-7.482232
35,0.50670534
36,-0.67570686
37,4.73122
38,2.2823286
39,1.8730056
40,4.326405
41,4.926399
42,4.462979
43,1.9983727
44,5.67002
45,3.1064174
