,z
0,-5.201348
1,-6.373766
2,1.4411985
3,1.66319
4,-0.2318479
5,3.7627954
6,4.4820156
7,6.119341
8,2.859946
9,-3.3618927
10,4.698149
11,0.36460137
12,4.3776402
13,3.5353696
14,-2.9997292
15,5.361642
16,3.5866961
17,1.2550266
18,0.39338338
19,1.1295415
20,-7.3632855
21,2.3235202
22,1.9687675
23,0.22466122
24,1.1894174
25,2.7313347
26,2.1039026
27,3.114607
28,2.2305357
29,5.4538317
30,-1.5973862
31,-5.69368
32,-2.8914404
33,-12.112442
34,3.3721235
35,-0.9338203
36,5.2262135
37,-0.9121129
38,-0.9774759
39,-2.6771789
40,-1.5041275
41,-0.73601234
42,8.148279
43,-6.7137175
44,-6.0381465
45,-1.7469589
46,0.14274909
47,5.8412504
