,z
0,-2.752365
1,-2.0725248
2,-1.1068953
3,-2.2991605
4,-0.9746637
5,0.63018286
6,-1.318809
7,-4.3449526
8,0.28457603
9,1.9783059
10,-4.0913415
11,2.1463199
12,1.8979769
13,7.984337
14,4.5454683
15,2.931697
16,3.8127484
17,2.3709376
18,-3.342605
19,-3.491116
20,0.80844706
21,1.9177353
22,-3.8091347
23,4.276603
24,-1.2572336
25,1.8452779
26,6.0256424
27,5.832661
28,-6.9207444
29,-2.7519455
30,-3.9467058
31,-0.42809245
32,4.109675
33,7.061298
34,3.1259074
35,-3.220834
36,3.033904
37,1.135065
38,-1.4812174
39,4.6273065
40,3.8364267
41,-1.4703817
42,-1.4061893
43,-0.00090267416
44,-0.64832217
45,-0.0978527
46,3.7722752
47,-1.425777
48,-2.637128
49,-4.7032948
50,6.5143704
51,0.13470241
52,3.4241245
53,-0.4077921
54,2.808801
55,2.42179
56,0.6798979
57,-0.6989746
58,8.398003
59,-3.5652845
60,-4.821399
61,6.368509
62,4.54325
