,z
0,6.4092746
1,-0.7658997
2,3.1305323
3,2.0849543
4,-0.017850693
5,-1.3300576
6,-3.2286677
7,0.26623634
8,-2.307561
9,-2.3637276
10,4.64835
11,-1.2129707
12,0.04429264
13,0.9910562
14,8.076144
15,-0.53368545
16,-1.600515
17,2.3925273
18,0.64319426
19,-1.1370432
20,-0.9667615
21,1.236325
22,2.6380174
23,1.0659134
24,0.1471174
25,-2.253063
26,-2.119548
27,-4.8843074
28,0.8626924
29,-1.17976
30,-2.6644852
31,6.171267
32,-9.603076
33,3.4078712
34,0.39643413
35,3.554705
36,-5.111973
37,4.3219504
38,3.0524237
39,-0.34187204
40,-2.210753
41,2.7297475
42,5.8260307
43,1.3308972
44,2.0073519
45,2.428395
46,0.80071783
47,-6.366455
48,-0.18152942
