,z
0,-1.3580287
1,-5.141817
2,2.2933784
3,6.4767265
4,-3.5924432
5,1.4035144
6,-0.0021405404
7,0.65285194
8,1.0291575
9,2.1709402
10,-6.072653
11,3.0802808
12,-2.607917
13,7.038398
14,5.5782123
15,-9.722671
16,6.4258785
17,2.9924808
18,-0.08191587
19,-1.8788171
20,1.3377782
21,-3.069612
22,6.2066317
23,9.159997
24,-3.559749
25,-0.12403272
26,0.77809554
27,-0.21518078
28,1.3488957
29,5.2062936
30,-0.7654632
31,3.7285604
32,5.431433
33,0.25721064
34,2.3501375
35,0.47947922
36,1.0355133
37,-1.2974793
38,2.1777506
39,-1.9049354
40,-0.7371401
41,-4.1150723
42,4.225925
43,-0.29618806
44,-3.2967138
45,0.6272418
46,1.3562721
47,-4.556573
48,-0.32243845
49,-8.000346
50,4.772222
51,3.6226423
52,0.7579655
53,-0.30724767
54,-3.769804
55,-1.4104959
56,0.26924345
57,4.73306
58,2.2166448
59,2.790208
60,6.579185
61,-7.5107117
62,2.2786686
63,-2.796927
64,-0.0002234584
65,-3.3846753
66,-1.38911
67,-0.68341506
68,-2.8662822
69,-1.8236493
