,z
0,-6.6754804
1,0.009072354
2,-0.04114855
3,-7.5304956
4,2.1213362
5,1.8964467
6,0.19352612
7,-5.0943446
8,7.953352
9,-7.2648625
10,2.1928627
11,-1.3915958
12,-3.0689738
13,-2.0411587
14,-1.309812
15,-1.0310538
16,-2.1629784
17,1.627069
18,-2.5675068
19,-4.160969
20,6.8249874
21,0.9872139
22,-6.9366927
23,-5.402166
24,1.5621966
25,-3.9457686
26,-2.145595
27,2.5896142
28,7.8492093
29,0.3260171
30,-5.8018103
31,-0.044844687
32,2.9476786
33,-2.3142354
34,-4.9467635
35,-2.0388033
36,-6.363447
37,3.6847901
38,7.7082157
39,8.044145
40,-1.3655626
41,0.87801087
42,-2.0706403
43,-3.2700956
44,0.6271953
45,4.9476347
