,z
0,-0.64569515
1,2.4571848
2,1.9033369
3,4.127994
4,0.037150655
5,1.0555423
6,0.9600181
7,2.8990262
8,-2.9511015
9,3.9675753
10,4.9849944
11,-4.015422
12,7.639594
13,3.2916033
14,-1.5674933
15,-1.7536992
16,0.58052945
17,2.5149238
18,5.289365
19,0.4559584
20,-4.3628025
21,-1.8961068
22,-1.9074134
23,5.007517
24,1.5221844
25,-0.7763204
26,2.0858989
27,2.5420163
28,5.042213
29,7.313214
30,-1.6830841
31,5.9791684
32,-6.6885715
33,1.9026297
34,0.13669278
35,-3.9217708
36,-0.54657096
37,5.180574
38,5.0300455
39,0.5625358
40,4.922622
41,2.961421
42,0.97313756
43,-4.816289
44,0.8289088
45,6.2598243
46,3.4810948
47,3.0171602
48,-1.1182357
49,7.630176
50,1.9822719
51,-3.7852995
52,3.7446146
53,3.4941325
54,-3.0517497
55,2.2043161
