,z
0,-6.6680384
1,-1.4271027
2,0.9802134
3,3.2684011
4,4.1791596
5,-5.959161
6,0.68601716
7,-6.7117233
8,7.7278666
9,-2.5465488
10,-0.7971644
11,1.9155933
12,2.5534976
13,2.2660692
14,-3.9007838
15,-9.244043
16,3.8946607
17,4.493116
18,-3.5348473
19,-6.3640146
20,0.44032994
21,0.1448126
22,3.1222098
23,0.32117036
24,5.320783
25,-0.93572944
26,-2.451547
27,2.637022
28,-1.39789
29,1.0436243
30,-2.3461437
31,3.1398706
32,4.697777
33,6.384689
34,6.1365485
35,5.9705253
36,1.9385321
37,-8.096857
38,-2.7333975
39,-2.3976047
40,0.41124898
41,-5.0320344
42,-5.634861
43,1.6534053
44,-1.2443686
45,1.3366138
46,2.640361
47,2.5790267
48,7.313443
49,0.16455342
50,4.5336385
51,-4.1768236
52,0.22556463
53,4.6872463
54,2.0320783
55,-0.9761196
56,2.22534
57,-0.2699956
58,2.8049018
59,-4.541754
60,4.204425
61,0.9144533
62,1.1877117
