,z
0,-4.590788
1,-4.6212397
2,-4.7319436
3,4.0342045
4,1.1728398
5,-2.0042925
6,-0.70939416
7,-9.123964
8,-5.4767647
9,-0.78662926
10,-2.9391026
11,6.7690263
12,-0.15241832
13,3.7178378
14,-4.2982674
15,5.9000893
16,-1.3276558
17,-1.1942499
18,3.8006344
19,-1.148838
20,1.4522692
21,5.1007643
22,-3.0792143
23,0.58150285
24,2.278509
25,0.6304676
26,5.7284117
27,1.737834
28,6.213672
29,1.9865304
30,4.732703
31,2.2077982
32,-3.5677311
33,-2.2789695
34,3.192998
35,-9.017258
36,2.4082115
37,1.852472
38,2.1548858
39,-2.5675771
40,0.3029136
41,2.5841968
42,-1.5455476
43,-3.7464194
44,1.5729285
45,0.051037226
46,3.0421276
47,-5.574357
