,z
0,-2.8544724
1,-0.6109638
2,5.2420645
3,-2.5940819
4,-3.922921
5,2.4100926
6,3.746347
7,3.596616
8,3.765216
9,2.0513964
10,-0.212931
11,-2.8161647
12,-6.044868
13,-0.11344288
14,2.2954485
15,-1.5629922
16,-0.9142024
17,-0.9811825
18,5.6009545
19,0.27005008
20,9.518279
21,-2.5760643
22,2.985683
23,3.79854
24,-3.794647
25,0.8932194
26,1.7574469
27,0.3928442
28,-3.0424187
29,0.67298794
30,6.8673773
31,-0.24890286
32,7.5582767
33,-3.0154357
34,-3.3292682
35,3.2298155
36,0.67126745
37,-4.8149533
38,-5.11264
39,-5.3858356
40,-0.33515665
41,2.2904558
42,1.7396325
43,-2.9716995
44,2.4417396
45,-3.3127124
46,1.015766
47,-1.842552
48,3.9080024
49,1.2026843
50,1.4680728
51,-1.3071915
52,0.02349596
53,6.2217035
54,-0.59771365
55,2.3162787
56,-1.7377928
57,-3.0179656
58,0.35533828
59,-0.69637406
60,1.4043324
61,0.9619644
62,-3.8130314
63,1.7877295
