,z
0,1.634116
1,0.82136047
2,-1.5585934
3,-2.695662
4,-1.7440652
5,0.10002395
6,1.6923133
7,4.9310813
8,2.147435
9,4.668326
10,2.394099
11,2.576685
12,3.0898397
13,-3.1368256
14,-5.0765047
15,-3.9724555
16,4.525543
17,8.019664
18,4.904855
19,0.6644226
20,0.74758327
21,-2.017686
22,4.0442686
23,-3.0695143
24,-0.00097261596
25,1.2707057
26,6.874469
27,-0.968443
28,2.0467417
29,3.1449647
30,-3.701309
31,0.89154214
32,-1.0553793
33,-5.1773863
34,0.3210164
35,2.2205057
36,3.413785
37,-3.5354626
38,0.4794264
39,1.934239
40,-1.3004307
41,-5.8486657
42,-3.2659514
43,4.738051
44,-3.3899999
45,1.3488646
46,-3.7497213
47,4.4364944
48,-1.4263152
49,1.0375203
50,-4.2120204
51,-0.35304955
52,-4.2914977
53,7.272595
54,-9.163611
