,z
0,2.807316
1,-2.966941
2,-0.15518454
3,-1.275212
4,-0.41596064
5,4.615063
6,2.2353282
7,4.093514
8,-2.845326
9,-0.57243735
10,3.3929467
11,-1.8708572
12,2.4098182
13,-4.0246634
14,5.882465
15,-1.9595952
16,-0.3127908
17,1.429683
18,2.3403318
19,4.6892776
20,9.485168
21,-1.2825725
22,3.898014
23,7.83501
24,-1.7959392
25,6.7046146
26,0.19753546
27,-5.3086176
28,-2.3808541
29,3.0996044
30,-11.057918
31,2.8614507
32,-3.178719
33,-1.1761801
34,-6.6165967
35,-1.5912832
36,-4.119053
37,6.3227987
38,-5.919077
39,-2.9428074
40,0.77386767
41,4.6788836
42,-0.6656943
43,-3.833769
44,5.3779845
45,5.208866
46,-3.411742
47,-1.6961184
48,-5.5243044
49,5.1348114
50,4.2282143
