,z
0,2.5291076
1,2.577048
2,1.2889876
3,-0.29450828
4,0.55539495
5,-0.4663548
6,4.9756703
7,2.3741715
8,0.5936532
9,-1.7803063
10,3.566455
11,1.2223781
12,4.441452
13,3.6243641
14,-3.5256264
15,4.0935283
16,-0.3739759
17,2.053697
18,3.454351
19,-2.0346775
20,0.4559574
21,3.5354354
22,1.0341662
23,-1.9669534
24,-0.49451092
25,-1.6610851
26,2.6704054
27,6.0719776
28,-3.475657
29,10.336082
30,9.988749
31,0.8569818
32,2.1969416
33,-1.533523
34,-4.276795
35,0.05311262
36,2.8833072
37,-0.9354701
38,0.51102847
39,-0.11079835
40,-6.2988834
41,3.2286146
42,0.67901206
43,1.1567628
44,8.4999485
45,-4.1169314
46,10.638696
47,-2.274082
48,3.3004823
49,8.698861
50,-1.3801633
51,-3.8223524
52,-7.319069
53,5.303645
54,5.781175
