,z
0,-1.2887949
1,-1.6380635
2,1.1768941
3,-1.1335012
4,-3.0836117
5,0.5098396
6,3.6136377
7,-1.6901078
8,0.01265203
9,2.478561
10,1.9429739
11,3.0004308
12,-0.8224168
13,-2.4950626
14,1.2056515
15,-4.0803084
16,2.0771387
17,-2.1058075
18,0.28497982
19,2.0056694
20,-4.3511815
21,-0.97046953
22,-1.8452706
23,6.003811
24,-7.950112
25,1.2106987
26,-5.093924
27,-4.5943074
28,0.73061633
29,0.5286527
30,-1.6164602
31,0.60157585
32,0.44700772
33,-1.010276
34,-1.0191988
35,-3.2690506
36,-7.1615767
37,3.306885
38,-1.6647987
39,3.3599277
40,-0.294901
41,-3.8763607
42,-6.467221
43,-5.5266366
44,5.784699
45,1.0627435
46,1.1762285
47,1.1830534
48,-4.7819877
49,6.546474
50,0.16850664
51,-4.603571
52,-5.1068835
53,1.0513241
54,-4.5896378
55,-0.18372689
56,-1.9846934
57,2.19396
58,-2.2181444
59,5.0713634
60,2.75243
61,-0.8083476
62,1.8752673
63,4.157729
64,2.4835732
65,-0.6795724
66,-2.1556504
67,0.50089645
