,z
0,7.2939105
1,-1.6552413
2,4.336513
3,5.89639
4,-0.34020323
5,4.2178936
6,2.9315925
7,0.581799
8,-1.8785831
9,4.1604595
10,-2.5766582
11,-3.4890559
12,-4.493952
13,3.2967432
14,1.0656813
15,3.4399216
16,-0.19599843
17,-3.1626952
18,1.8282241
19,-2.4486358
20,-9.809527
21,-3.3854032
22,-0.24158096
23,2.79481
24,1.0077535
25,3.507143
26,-2.9608314
27,-7.5862684
28,-6.9267216
29,-4.8821516
30,5.539087
31,-2.1043658
32,-5.124407
33,-0.9048234
34,-2.2578688
35,-2.3360186
36,-3.680414
37,1.0346383
38,3.4910262
39,4.5998764
40,-0.43397507
41,-0.8784197
42,1.2420143
43,3.049088
44,7.248563
45,-0.8535251
46,6.689217
47,8.775036
48,-6.945098
49,0.48951626
50,-0.9973499
51,-9.435543
