,z
0,-0.375931
1,0.4417325
2,0.6174568
3,0.38629687
4,3.4441524
5,-6.727631
6,-0.378922
7,5.2378955
8,-3.238659
9,1.8042744
10,4.4109945
11,3.785847
12,-2.3285484
13,1.7467538
14,-2.5152903
15,-4.458983
16,9.763925
17,7.2143736
18,0.033344764
19,0.44395825
20,-2.4978065
21,1.7282505
22,1.7387879
23,3.8400068
24,-3.3349297
25,3.7540765
26,2.721315
27,2.6195688
28,-2.388198
29,-2.864614
30,2.187629
31,6.394632
32,-2.629742
33,0.95913357
34,-0.35558075
35,3.6402087
36,-8.338921
37,1.7381002
38,0.9169995
39,-1.3663713
40,-0.2761004
41,-7.6732674
42,1.46221
43,6.211515
44,1.6015847
45,-0.03369346
46,2.1657536
47,7.2762623
48,-6.782799
49,7.2592096
50,3.1943161
51,-1.863433
52,3.0624306
53,-3.462281
54,-2.3985274
55,-0.87435836
56,-3.170167
57,5.407315
58,4.7843976
59,0.16659793
60,-2.5594473
61,0.65846026
62,1.9726639
