,z
0,1.0035799
1,2.1454241
2,-4.385453
3,5.123637
4,3.3664148
5,0.45218238
6,4.217504
7,0.793837
8,-1.5982889
9,-8.802566
10,8.25884
11,8.392499
12,-2.7373233
13,-4.1880627
14,1.418173
15,-0.20445274
16,-1.8512902
17,1.0472401
18,0.90052515
19,-3.5056696
20,0.7113039
21,3.8928802
22,0.5918907
23,4.7103853
24,-2.3209739
25,-5.0567136
26,0.7635025
27,2.3775752
28,-1.4368205
29,-5.9818683
30,3.9825025
31,-1.3873003
32,-3.1928215
33,-2.00411
34,-1.7764105
35,-2.071936
36,-0.4135188
37,0.21242797
38,-1.2022438
39,-0.7668304
40,1.6538935
41,3.2270303
42,-4.024101
43,4.884968
44,-0.9883996
45,1.8277309
46,-8.376376
47,3.0507958
