,z
0,3.1631787
1,1.7829052
2,-3.6355898
3,2.1110013
4,-1.4055964
5,-11.241031
6,0.014844987
7,2.0532126
8,-2.3270066
9,0.90305907
10,2.1619375
11,-0.3183255
12,5.166435
13,-1.6435815
14,0.611519
15,1.6391913
16,2.7448957
17,1.4328175
18,-3.5297875
19,3.2185745
20,3.520793
21,9.245735
22,0.28336996
23,7.7644625
24,-2.8730228
25,-6.4059525
26,0.94196737
27,5.1377797
28,-2.4137123
29,4.9996033
30,2.2897367
31,2.232856
32,-3.8803995
33,-0.707695
34,-1.981475
35,1.9499799
36,-0.26238757
37,-0.14740476
38,-4.189301
39,2.5325441
40,0.08209406
41,5.0908284
42,1.3676805
43,2.611994
44,2.879156
45,3.593536
46,8.547391
47,3.0784347
48,1.8806429
49,-7.345239
50,0.11384163
51,-1.5177374
52,-1.5734184
53,-1.2498033
54,-1.338434
55,4.2167025
56,-3.2081347
57,4.591255
58,2.449515
59,-5.2825565
60,3.6372187
61,7.0958815
62,6.4390345
63,1.1276643
64,-4.360749
65,-4.7155066
66,6.348766
67,-8.520379
