,z
0,-2.3405523
1,2.5152988
2,8.214749
3,2.9086578
4,-2.4946947
5,4.5878882
6,-7.4480195
7,2.780204
8,-1.273218
9,-6.2230773
10,0.7826504
11,1.6161534
12,1.0654762
13,-0.9944979
14,10.129379
15,0.85316515
16,-1.7582923
17,-10.677993
18,0.47647834
19,-0.085522324
20,3.427415
21,2.8747518
22,-2.072023
23,-6.817797
24,0.5329911
25,-1.4043962
26,1.4426616
27,-5.743987
28,4.085114
29,-0.7710725
30,7.4641175
31,-2.7205122
32,0.358399
33,3.4888175
34,-4.379447
35,2.2443147
36,-1.5503442
37,-4.2560396
38,-3.4976351
39,9.152871
