,z
0,-0.560562
1,-0.77817374
2,-1.4284065
3,-1.1419708
4,1.0131385
5,1.8952073
6,-4.954269
7,1.0410981
8,1.4681058
9,-0.26877046
10,-5.732547
11,1.0856073
12,-7.1180964
13,-1.1939449
14,3.2443078
15,-4.4164624
16,0.13665684
17,-0.5359283
18,-2.7294934
19,-0.7829619
20,0.4048428
21,5.394162
22,2.6461697
23,-4.3415933
24,-3.0378275
25,3.0178716
26,3.5853465
27,5.7928076
28,0.25934193
29,-0.22467966
30,0.18307485
31,7.864002
32,3.9919143
33,0.51759446
34,-2.571428
35,-5.220759
36,-0.9669813
37,1.7489089
38,0.7288263
39,3.6217446
40,2.2184224
41,-0.37063974
42,1.9315166
43,-1.3167611
44,5.1657357
45,-3.0288403
46,-5.5926766
