,z
0,3.231414
1,5.3687344
2,4.5585227
3,-0.5610362
4,0.5481549
5,-4.646048
6,-3.1566284
7,-1.3533528
8,0.8337484
9,0.651296
10,-4.458609
11,2.7667189
12,-3.7485435
13,-2.2496161
14,1.2036387
15,-5.3845806
16,1.7019117
17,-3.9909966
18,0.9042075
19,3.4320793
20,4.1013346
21,-2.1045804
22,-4.101695
23,-5.5767274
24,8.066746
25,7.371289
26,4.3070264
27,4.5293455
28,-3.089881
29,-2.3074126
30,-2.580117
31,-0.557016
32,3.8709252
33,-0.7214053
34,4.1205516
35,2.1512122
36,-3.7744102
37,-4.042078
38,2.93725
39,-1.9102855
40,-4.802698
41,3.7258062
42,-3.2235394
43,-1.6444166
44,4.6523013
45,0.18855095
46,-5.904611
47,0.94940376
48,5.299254
49,-1.5468247
50,2.0532053
51,0.43236527
52,1.9915209
53,-0.933294
54,-4.323203
55,2.5324016
56,-3.9321785
57,-0.52869564
58,4.86668
