z,pt,dzErr
5.1480737,2.204285,0.013953366
1.9514577,1.165926,0.027174316
-1.0739162,0.9724118,0.026686782
-5.9239464,1.3561668,0.021246517
5.3989687,0.707658,0.01249851
-2.5234694,0.81192166,0.008145894
1.8121848,1.6940464,0.0077753724
-1.6827499,0.7464409,0.010115377
-5.581566,3.2103925,0.0047262944
5.3845563,0.9956283,0.019955808
4.1196203,0.53431255,0.04619847
-1.7819206,0.9597722,0.037508953
-1.0923488,1.4909296,0.031717747
1.9416457,0.8577157,0.96742433
-1.0110645,0.84743744,0.010681255
-5.6505413,1.6305115,0.0059026917
-0.8364632,0.60421103,0.0106915105
2.9483943,0.65138006,0.13290681
-1.7236354,0.74249,0.008767678
1.6107738,1.6464899,0.0054776566
5.122597,0.8983117,0.024633773
14.08008,0.72661453,0.040002234
3.1267028,0.51134753,0.07667784
6.749034,0.579274,0.172381
1.6833345,0.66473603,0.15251502
1.6143783,1.1276549,0.07466863
5.9168243,2.6180453,0.038267646
4.7914777,0.85035515,0.1396049
6.6936603,0.5480009,0.18098646
1.1036147,0.8672285,0.10004388
5.186449,0.6079066,0.18788075
6.7001786,0.98459506,0.1076555
5.3444366,0.89766026,0.16292042
2.1488059,0.7041077,0.1699942
-0.6286554,1.5051181,0.055010274
2.9308796,0.73300266,0.10387158
-0.22782807,0.6034812,0.18590106
-1.717781,0.65642685,0.09673648
1.4752538,0.6305627,0.13149542
-0.2861398,1.8614237,0.036357813
5.930628,1.0865413,0.06334655
-1.1001197,0.9092615,0.07060972
1.8305546,0.5324061,0.17052478
-2.3574533,0.69414943,0.10774308
6.714554,0.5240847,0.1932718
-3.1928134,0.7387416,0.14078881
-3.15427,2.5244808,0.040836275
1.932032,0.5246176,0.1391398
2.9799798,2.0122533,0.043850593
5.9625516,0.5842954,0.14824663
3.054323,1.0486407,0.06798874
-0.99993986,0.53399485,0.08962563
1.6420323,1.01912,0.054325595
-1.7640293,1.2523417,0.038301412
1.5487365,1.5765082,0.035941295
5.7600374,1.0932913,0.054295193
-1.0276604,1.9987273,0.028674107
-5.6736493,1.8295879,0.030028386
1.7128174,0.7775573,0.064077474
3.9127088,0.68214405,0.05698127
-3.0741444,0.79943717,0.0553632
-0.86665905,0.72938794,0.054537725
1.4438992,0.90372425,0.050304163
5.127813,1.7465152,0.032030977
-0.6137712,0.6780896,0.060914844
3.4828799,1.0876752,0.044693027
3.034167,0.5748518,0.07382725
-5.5533757,1.0191242,0.041900493
-5.6565313,1.448897,0.02630195
-5.55467,0.5666859,0.07471164
-1.762376,0.6021634,0.07316207
-5.715625,0.56661534,0.07431399
-1.8698151,0.75017846,0.057674326
1.9256394,1.1896967,0.031813543
6.771022,0.63271797,0.06657256
1.6028488,1.0753337,0.04722858
-0.6961333,1.4243177,0.028904341
1.6185781,1.0685409,0.038345095
-0.61332685,1.132752,0.031001385
1.6076082,0.9872731,0.044076756
3.0567656,0.8925174,0.039318677
0.6524491,0.7056906,0.042125102
-5.4992895,0.65795314,0.039375465
-1.7933927,0.6946396,0.06932392
3.0570369,0.8077171,0.04855205
-0.023783814,1.9854398,0.01587921
1.6883368,0.5091022,0.059856914
-5.23281,0.88508636,0.033366643
5.8984327,0.83469987,0.04448034
-5.677229,4.126071,0.01032552
-1.4159036,0.506971,0.06007094
-3.4016466,0.50418407,0.056992292
1.9414722,0.6003035,0.048433483
-5.44204,0.52688175,0.064607866
-5.9079294,0.9100288,0.03926035
1.6272329,5.1456447,0.008188308
-0.60744,0.602115,0.060839146
5.8515663,1.575525,0.020587323
-5.5508714,0.6380954,0.056637634
-0.61714464,0.6208243,0.053959727
6.783145,1.2263466,0.029154552
-1.7647649,1.3532503,0.020871367
3.0996296,1.0102801,0.025139615
1.0460682,0.9802516,0.026507422
-1.0343874,1.1579,0.019020759
6.8147655,0.6036635,0.038732067
-3.1822817,1.2436616,0.017309045
-2.9028327,0.8530256,0.025087783
1.5736625,1.2621833,0.025594441
-3.1648474,1.475651,0.015240679
3.1207945,1.1760387,0.017923841
6.722836,0.53346676,0.044737857
-0.64123327,0.69890165,0.038856033
1.6050786,0.9189851,0.024984432
0.9088437,0.7644296,0.030816665
-1.014257,0.77018243,0.025626276
-2.9065812,0.62647665,0.027669929
-3.1826954,0.98910296,0.017727617
-3.1914947,2.4133265,0.0098871505
-1.8466554,0.623641,0.029583799
-5.903953,1.0832351,0.019496044
1.9518903,0.7583652,0.026773684
1.5975596,1.8052962,0.0086109955
1.6209714,2.8404825,0.0073482497
1.6029468,1.3947734,0.010155258
-5.914173,0.57899576,0.024585908
3.9521456,0.7490145,0.026111
1.665811,0.59199977,0.017416505
-1.7118196,0.7781284,0.016690195
3.043211,0.50819373,0.02253751
-5.6484556,0.9015029,0.012971337
1.6084496,8.943915,0.0031659687
1.5999925,7.047542,0.0036767928
3.0108068,1.1168816,0.009724774
2.9951952,0.76362574,0.012086741
1.0126002,0.50996494,0.022181263
-1.7286129,0.57466775,0.017677184
-8.860036,0.67031336,0.015156218
-0.6341135,0.72152615,0.015391236
1.6043353,0.6968898,0.018799178
-3.3615108,0.9218719,0.0114221815
2.7037475,0.7739713,0.011168403
-0.64811975,0.65843415,0.011879796
-1.8230661,1.081468,0.009478497
-0.6457532,0.6496188,0.013017851
-1.8312725,0.87797815,0.011620708
-1.8207309,0.6407,0.015213452
-5.9488893,1.5442537,0.008119127
1.0541666,0.58554226,0.014340491
1.9014086,0.52545875,0.0173369
3.9278803,0.7270691,0.01750679
1.6095684,1.7122371,0.0064168633
6.781592,0.86335796,0.010147481
-0.62520444,1.0225215,0.008896003
-5.9118567,1.511236,0.0066348654
3.9714239,0.8219399,0.010290739
6.7356477,0.73579776,0.0107227415
-6.0357027,1.7684685,0.0046820245
1.8090397,0.82264626,0.011007255
-5.5501995,0.7494321,0.013734341
-1.0717201,1.0065551,0.007252545
-3.1994615,1.1054876,0.008070661
-1.7170339,0.65829974,0.011225855
-0.6285437,0.6315837,0.010075949
-5.645289,0.7891715,0.00914806
3.0049493,0.6818716,0.00965444
2.7107146,0.60321206,0.0134391375
-5.577411,2.3437502,0.0059130476
-5.6385517,0.54585415,0.015721656
-6.028232,1.8644925,0.005358027
3.9715176,0.5430794,0.014940457
-1.8193864,1.8578022,0.005307835
3.1162696,0.585371,0.014385601
-1.0662527,0.8916546,0.010879055
-3.0869021,0.7448484,0.009147649
5.154441,0.5117018,0.01237308
5.159835,0.56009793,0.011538024
-1.722026,1.0895584,0.0071498016
-0.6363211,0.62301624,0.010313913
3.1428947,0.5161538,0.011926793
-0.6473919,0.52245635,0.015431619
-5.563418,2.4508533,0.0046224804
-5.572623,7.274992,0.0021715714
1.606158,0.7535347,0.009364154
-0.19737574,0.77728206,0.01101414
-1.814092,1.2690264,0.0076278136
1.9024782,0.73254985,0.0094686495
6.3322206,0.5480274,0.012156727
-5.9132266,0.5718917,0.011181959
-0.6075909,0.9434106,0.0074823527
-3.0785303,0.6955224,0.010257814
5.1625834,0.7482045,0.008913432
-5.507616,0.6276232,0.010210463
1.6194555,0.8869771,0.0063513294
-5.5787454,1.2593143,0.0064238305
1.6091067,1.7746024,0.0053461515
-0.6397875,0.8283266,0.009115485
-0.9961134,0.8271395,0.009136606
6.768072,1.0725223,0.009489571
-5.571729,0.7646496,0.0074350163
1.6135384,1.2768521,0.006691546
-0.9542091,0.6783137,0.009706949
-1.8066458,0.55167794,0.011347718
1.599764,0.71793777,0.009226715
-1.7354338,0.93344355,0.007948813
1.8262264,0.5379715,0.012386702
-5.5897784,0.68598557,0.009183849
5.1437635,1.680942,0.005802264
-1.8242806,0.9878661,0.008282641
-6.9752293,0.66200465,0.010339545
0.78020656,0.52686214,0.011961968
-5.581633,1.1242863,0.007064774
-5.579815,1.7078332,0.004631746
-5.571973,2.7264345,0.004948868
-5.580702,0.6961486,0.009383691
-5.5677896,0.86895615,0.00820591
-5.650071,0.5082588,0.010446305
-3.0764265,0.7193808,0.008856566
-0.62695765,0.6529875,0.011608161
1.6131761,1.0020428,0.008283239
5.8544335,0.6715546,0.0104519185
6.769403,0.5321036,0.010743466
-5.5602217,3.3185492,0.007784533
5.144556,0.7650419,0.010817836
-5.5699058,1.299012,0.005250459
