z,pt,dzErr
2.3994174,0.86224824,0.06127247
-6.6589193,0.79681474,0.08466551
2.1985502,0.74211967,0.04196216
0.46779397,0.88586396,0.024834929
-6.6234207,1.0724766,0.0071969414
7.925263,1.3806064,0.0061857123
1.1707234,0.78728956,0.012235697
1.188199,0.59363943,0.013496769
3.56117,0.9723048,0.019700116
-6.6564646,0.5751421,0.0531
-4.4873,0.80749243,0.032281257
3.5441186,1.2270402,0.021936346
-1.864409,1.1207596,0.026744852
0.6881951,0.71703535,2.1761737
0.5187265,0.828521,0.0295126
-0.9802326,0.7430116,0.6434125
-0.74362594,0.7112958,0.03434844
-3.898826,0.5554422,0.04082018
-4.2046432,2.6614296,0.0051905517
5.418916,0.7122209,0.02566294
-0.29121837,0.82507926,0.12713048
0.8851527,1.5198294,0.08575655
-2.8572876,0.6182754,0.049252987
-3.851291,0.6802065,0.021840516
9.169309,0.7480161,0.022844858
-4.2128415,2.0558703,0.008820666
-2.9233434,0.6514703,0.042431034
3.540126,2.3906596,0.061604932
10.736274,3.369566,0.011204707
2.247167,1.0788825,0.08845083
6.6157374,0.594818,0.15485148
1.1071309,0.58243215,0.22285435
5.345253,1.6749997,0.06825746
0.99113876,0.5074952,0.2902328
0.5377433,0.90209377,0.14798345
0.4652114,0.8562031,0.07860459
3.701093,2.0626996,0.033139728
-0.4463049,0.72132283,0.09119602
-0.959246,0.5802294,0.14165872
-1.8979425,0.77049345,0.08548212
5.4826713,0.7453409,0.09228899
3.5719206,0.67048013,0.1049809
3.652202,0.9616393,0.07236092
5.2431436,0.89668614,0.09061433
0.46234563,2.1586401,0.027536275
0.42231113,0.64838994,0.113479026
-1.0509746,1.6743422,0.035365008
3.7290392,2.2347927,0.027057773
-2.8688078,2.1237571,0.0273059
-4.213426,0.5825326,0.08187962
-4.2294173,2.767065,0.021871146
3.5511947,0.6825611,0.092855215
0.4559413,1.4044545,0.042535994
-2.2343163,0.51072377,0.10497134
0.49471617,1.0887914,0.05183573
-0.76925784,1.2428231,0.045180805
0.47779083,0.6181261,0.08337821
-6.592781,0.54266536,0.13603508
-4.311398,0.5505484,0.25310013
0.4713117,0.8355464,0.07880242
-0.14381163,1.159754,0.06310226
2.1836102,0.86972415,0.09945847
7.725688,1.6737926,0.0336979
2.3266342,0.6340905,0.08983889
3.9892325,0.60281307,0.06361887
-0.7315122,0.6681977,0.065561555
0.44720244,19.662167,0.0052665183
1.4849496,1.6149126,0.027635291
3.647844,0.5720329,0.058544286
-1.7931474,1.595863,0.02897188
-2.190215,0.66556704,0.058378667
2.912865,1.2929853,0.032977697
4.8772483,1.0733194,0.039174154
3.6673448,1.256218,0.038605094
0.36034223,0.5086666,0.08899489
-0.260908,0.6982637,0.048379444
-6.6197634,0.76940894,0.046848413
-1.4467927,1.3397174,0.027273258
5.3847,1.0886853,0.031043261
0.4442826,2.4397376,0.014830928
0.4469985,0.77199924,0.039803825
2.2549884,1.0710402,0.0237034
-1.8204877,0.643369,0.065335855
-0.53530174,1.4567068,0.022505533
-2.144243,0.56735045,0.055901
-2.8429952,1.7617805,0.021711161
-0.9819067,1.1822778,0.035016205
-2.8457649,1.3579296,0.024389237
7.6663284,0.66935915,0.054474734
-6.618017,1.5022944,0.019965418
3.6272845,1.4427558,0.023013745
