,z
0,4.457595
1,-3.0264394
2,-4.049307
3,3.0838609
4,-2.5034633
5,-2.215811
6,-1.0770296
7,-1.5270659
8,1.7922783
9,5.486627
10,-1.503716
11,3.373754
12,5.044611
13,-2.6217709
14,-3.2464714
15,5.201794
16,2.2574031
17,2.9539456
18,-2.7175422
19,-4.88463
20,1.1149629
21,4.8838234
22,-3.2781546
23,0.29351872
24,2.8435082
25,0.039621696
26,-3.6364763
27,-4.434017
28,-5.432211
29,-3.8851407
30,2.0268779
31,-3.4299986
32,0.8545543
33,-0.18472095
34,-2.5614145
35,-1.6070954
36,6.6836457
37,0.89612406
38,1.3462634
39,0.1248255
40,-0.27242047
41,-4.3932476
42,0.55621016
43,-8.143035
44,1.4751033
45,-0.07679456
46,-7.948126
47,-3.3299632
48,-5.577518
49,-0.55449283
