,z
0,-8.40353
1,1.4744673
2,1.9258446
3,-6.563589
4,-7.6054935
5,0.049242154
6,2.7905128
7,1.4361495
8,-7.875797
9,2.5192642
10,1.389142
11,5.3865294
12,-3.999856
13,-4.2062936
14,5.835695
15,6.626171
16,-2.3118482
17,1.9831712
18,-4.263897
19,-1.416256
20,4.30584
21,8.835171
22,4.136619
23,3.1135094
24,-3.4518225
25,-3.2397513
26,4.4496737
27,-1.5705798
28,-2.0078018
29,-4.3246264
30,0.7064873
31,5.1659555
32,-7.0505724
33,6.1491003
34,2.4017642
35,2.6733558
36,-2.9701877
37,-3.1202693
38,9.462505
39,6.368247
40,2.237166
41,-2.2423072
42,0.36256036
43,-1.2923409
44,0.7826759
45,-2.7877424
46,-3.8263752
47,-1.9677392
48,-1.3220538
49,5.6484003
50,-2.0931082
51,-1.7349404
52,4.704706
53,3.6611373
54,4.849453
55,-0.38584158
56,-0.9940047
57,3.4022903
58,-0.5418222
59,-4.954632
