,z
0,0.90248126
1,-2.4781525
2,0.62495863
3,4.141907
4,-2.5117173
5,1.9148303
6,-2.391015
7,0.77142787
8,3.6397374
9,2.0138938
10,-2.8213446
11,-2.7684343
12,2.0806885
13,3.5513754
14,-4.7469964
15,-1.4652375
16,1.9652091
17,-3.8472831
18,4.7845616
19,-0.117669575
20,-0.15001844
21,6.3319125
22,-3.5227137
23,-0.6225971
24,-2.9279454
25,2.748759
26,-0.82045513
27,-1.4962366
28,-1.4435085
29,5.100283
30,4.227712
31,-3.3630404
32,-2.6087866
33,-1.5734376
34,-1.9239815
35,2.6612859
36,3.3847044
37,-5.535656
38,4.586166
39,2.7006066
40,3.327336
41,1.3321638
42,-1.0509664
43,-6.0062184
44,4.9476995
45,-5.3676367
46,8.217194
47,0.029836731
48,-3.6840317
49,-3.636305
50,0.21727172
51,-3.2589548
52,1.3828751
53,-7.126027
54,-5.1185827
55,-2.097488
