,z
0,2.8068948
1,-1.2768575
2,2.8643906
3,3.8960836
4,3.0987515
5,5.883618
6,9.486685
7,-4.1223288
8,-11.056962
9,0.20095475
10,2.234555
11,-0.30875742
12,5.136538
13,-1.7876387
14,1.4264495
15,-1.1816688
16,-0.5648205
17,-0.16500556
18,-6.6180663
19,-1.8619853
20,6.702338
21,-1.6967635
22,4.0950446
23,-4.0251884
24,-2.9568655
25,2.431075
26,5.3797145
27,6.32188
28,-0.41270304
29,4.691961
30,-0.66255224
31,-1.9653965
32,5.189965
33,0.7720902
34,-3.414632
35,3.3864472
36,-3.1782992
37,2.3475657
38,-2.8607717
39,-5.3138046
40,-3.827629
41,-5.52758
42,4.2217755
43,5.2721376
44,-2.3806422
45,-1.5760531
