,z
0,4.2202644
1,5.2747116
2,-2.341746
3,-5.3380694
4,-7.0000725
5,0.41543245
6,-1.3971194
7,1.3053037
8,0.7201863
9,5.382603
10,-4.638459
11,-0.38675842
12,-3.951227
13,2.0818608
14,2.8109117
15,-6.2892456
16,4.2164574
17,6.306967
18,-5.1405706
19,3.0567057
20,3.4328883
21,-1.0481681
22,-1.1091923
23,1.572308
24,6.7760687
25,0.06646417
26,3.969363
27,-6.2583575
28,-4.5234795
29,5.745028
30,-1.2652373
31,-1.0333636
32,-1.4910439
33,3.9537551
34,5.4216805
35,-0.27904102
36,2.8704574
37,1.3646001
38,-9.247622
39,6.713697
40,0.39659303
41,-6.4105077
42,-2.9013681
43,-0.6246388
44,-0.49602905
45,4.325207
46,-2.0402067
47,0.87587523
48,-1.5845509
49,1.475927
50,-3.2803886
51,-6.339256
52,2.5628402
53,-1.3453532
54,4.460081
55,4.878751
56,-1.0105408
57,-1.2940725
58,-1.3762558
59,2.501953
60,4.0348096
61,-0.6705992
