,z
0,-0.26328215
1,0.67490065
2,4.578166
3,1.274029
4,0.46654248
5,-1.7630663
6,0.709161
7,-4.427108
8,4.22577
9,-0.48549533
10,4.9230523
11,2.1192718
12,-2.385466
13,-1.5490497
14,0.15346698
15,-0.78654385
16,-6.2260666
17,0.41940984
18,4.6111846
19,-1.3932964
20,-4.739637
21,-0.3395105
22,0.10007702
23,5.43184
24,-1.1124707
25,-0.60381246
26,-4.352011
27,-2.4350305
28,1.3162996
29,0.3672803
30,-0.9920817
31,4.1822667
32,-4.223782
33,0.99395174
34,2.9024785
35,1.6392014
36,-1.6052625
37,3.1435428
38,3.5725365
39,-0.71657354
40,-1.6756535
41,5.915467
42,2.2751398
43,8.908077
44,4.657341
45,-2.204416
46,5.3222833
47,-3.5807126
48,-3.2308016
49,2.1794503
50,3.7903981
51,-1.2903601
52,2.743961
53,-7.3209248
54,1.9351115
55,-3.0613525
56,7.0743246
