,z
0,0.034442537
1,1.9183803
2,4.70333
3,-4.181871
4,2.218258
5,-0.055076886
6,-5.296384
7,-0.3068737
8,0.12750655
9,-2.754118
10,2.124899
11,-6.909455
12,-0.7980178
13,8.381362
14,1.743678
15,-6.34261
16,-4.1777806
17,3.283444
18,-2.6146588
19,-3.3825197
20,3.6094842
21,1.9928721
22,-3.2489157
23,2.8402405
24,0.09746997
25,7.4376125
26,3.409118
27,-3.4061286
28,1.4557434
29,7.820097
30,-0.65760595
31,1.4500598
32,0.25502923
33,-4.728273
34,-7.6190834
35,2.326985
36,7.835732
37,-5.210341
38,-2.1142874
39,3.6979814
40,6.9642057
41,0.75029266
42,-0.35656855
43,-1.1243529
44,3.0132048
45,-2.003346
46,-2.0017266
47,-0.5726618
48,-2.2638962
49,3.520229
50,-0.6669427
51,-2.4436321
52,-3.6250343
53,-5.337116
54,5.741391
55,-2.4854305
56,2.5432484
57,0.7275664
58,3.0927658
59,2.087208
60,-6.088041
61,-0.71429163
62,-0.7672318
63,4.8066115
64,3.2717488
65,-1.73993
66,-2.8774335
67,3.1205883
68,-1.136973
69,-3.1431038
70,5.058436
