z,pt,dzErr
1.4408114,0.6085943,0.05716178
-2.5773983,0.5453524,0.04118175
3.095572,0.53074074,0.0651969
-2.6315577,2.2602684,0.008221396
-5.332018,1.0486268,0.020716237
0.03804205,1.0367018,0.0098049855
4.705439,0.8115164,0.010327117
0.0003866424,0.5821988,0.031001676
2.551533,0.8403702,0.023119954
-2.057916,0.963018,0.048649807
-4.034251,1.1149075,0.0655395
-0.01439758,0.6269902,0.24121045
4.2199826,0.64236814,0.022539387
2.8091946,0.5110967,0.012414056
2.6955981,0.6012684,0.23235703
-3.1781585,0.7915555,0.020935798
2.554851,0.68463176,0.014085856
7.329486,0.5445609,0.21406819
7.6137075,1.0144932,0.05700159
3.255469,1.1137934,0.080997355
2.0893857,0.6905713,0.12616904
3.2467713,1.3234553,0.07094594
3.3737721,1.4030858,0.092050225
0.061611574,1.2598921,0.07937247
3.4362726,0.5435012,0.28956056
0.0948798,0.74616927,0.17831093
1.9321212,1.2469311,0.07820934
2.1701422,0.9188859,0.08304778
-0.73537153,0.5378729,0.13994837
3.4900217,0.6941803,0.11785233
2.9825108,0.71809095,0.08665567
3.738993,0.5079842,0.13264649
-2.5982738,0.97125155,0.08882479
-0.34587023,0.5101427,0.23188338
-0.619595,0.8516192,0.10870428
2.983663,0.5078363,0.14034392
2.2697785,0.65530014,0.12360692
3.6083815,0.5771654,0.11995008
-1.0963739,0.5723655,0.10891755
3.2500079,0.5588117,0.114932865
-2.410235,0.8618554,0.077240266
2.6555989,0.5722116,0.11519252
3.7837956,0.75350714,0.12770481
1.9516307,1.1010908,0.073587604
1.7835128,0.5246328,0.12461995
0.90446955,0.6715949,0.11725325
-4.0825973,0.85318524,0.11503688
3.5478075,1.396364,0.054226972
3.3758984,0.86568314,0.07924201
-0.90525955,0.6049861,0.1115727
3.2550957,1.0442032,0.056430705
0.079136334,0.6058769,0.09294104
2.5614312,0.5188219,0.09697339
-1.1609212,1.2674502,0.04711766
3.5463023,1.5236056,0.040826846
-1.1115028,0.55919206,0.08275906
3.6253202,0.8355812,0.07834339
3.2893639,1.006148,0.03927975
-6.9507217,0.50597095,0.08728527
-1.8830525,1.0746212,0.068993166
0.02847699,1.3586792,0.028301584
3.2798965,0.90540797,0.059010953
3.0008318,0.6919971,0.059758145
-0.87589395,0.6603155,0.067197375
0.044947073,0.51941395,0.07581439
3.0080607,0.52665675,0.075526014
1.9436029,0.8153489,0.042285092
0.707084,0.5819479,0.063055605
3.4770353,0.92095244,0.040287606
3.0956752,0.5816218,0.06846841
-1.964232,0.6478389,0.07774609
2.1844072,0.59264934,0.075251155
1.4380285,0.783638,0.05784999
-6.0575747,0.89382845,0.047471732
-2.5837607,0.9479207,0.052318417
3.6061444,2.2876065,0.022680135
3.0936835,0.7851068,0.05715115
-4.2204285,0.5292162,0.07574556
2.0914829,0.97095656,0.03021602
-5.312396,0.9196792,0.03142494
3.1612556,0.56742346,0.056413937
0.005096343,0.90617603,0.031557318
0.5561467,0.6986886,0.052525487
-0.700257,0.7541849,0.035698194
-5.290256,0.68869454,0.042912636
3.610188,1.594668,0.01728018
-5.1743455,0.6382761,0.04562789
-2.6020849,0.6969279,0.046365976
6.9106035,0.52119946,0.06598677
2.5100338,0.7871781,0.04492043
-1.7225208,0.5069309,0.05817713
0.03140648,1.2377914,0.02141481
3.2788258,0.54966146,0.06616714
-1.9142381,0.66300476,0.070394315
-0.016963305,0.7760607,0.034338623
-5.834585,0.9663887,0.0273054
3.5898206,1.1420715,0.026251245
7.855183,0.7752709,0.04296406
2.5510805,0.6063734,0.03861895
2.9980721,1.1621872,0.022348631
-0.037313577,1.8589917,0.015762456
-2.6640337,0.99967015,0.021051027
-0.59366745,0.8304136,0.026369533
3.389148,0.569805,0.040880207
-2.7350733,0.8682907,0.021800593
0.094723344,1.095108,0.026822446
1.7979738,0.67803663,0.03380629
0.062187478,0.58216065,0.038244836
3.3225722,0.53860396,0.041425988
1.9551067,0.58552706,0.04237249
-4.185934,1.4790393,0.012938792
-0.7605062,0.6163277,0.03695372
2.5129561,0.76748186,0.023514029
-5.2799296,0.61616707,0.028769359
3.182269,0.9058644,0.024067549
-0.6769149,1.2665823,0.016336052
-2.2937858,0.78429425,0.024981845
2.174265,0.55240786,0.031675022
-0.33409894,0.6337747,0.0248864
-2.0547838,0.51386106,0.031709034
-5.334613,2.3282194,0.008970645
-0.66742146,0.59681565,0.034434568
2.536196,2.918473,0.011611545
3.3893301,0.9223873,0.014473988
3.1148446,0.824723,0.017406197
-4.18316,0.60748833,0.022473924
-1.1333368,0.63580406,0.01803645
-4.176806,0.6520033,0.021019414
2.067308,0.5872771,0.021365063
3.513577,0.62050855,0.017010229
2.2423365,1.4181685,0.0077844737
3.2812276,1.0304855,0.011764262
-0.6162591,0.61077577,0.016449958
3.5132015,2.132089,0.006966874
0.032586105,1.6858069,0.0074343914
-0.59564483,0.8772617,0.01233921
1.979546,0.99396616,0.011569897
1.9250038,0.8169456,0.013899899
2.1066077,0.6125629,0.017694218
3.3936899,0.80630916,0.01429367
3.0929322,0.50411105,0.022112338
-2.6016204,0.5371256,0.018691948
3.707049,0.50681674,0.018294394
-4.1879535,0.58410335,0.015244311
-5.3188324,2.1627824,0.0065651466
3.0917976,0.6411153,0.01745247
-4.182367,1.2062775,0.008103446
-1.7378238,0.51884025,0.0185761
-2.6172454,1.3529797,0.0076672994
-4.7497845,0.5861914,0.015585587
-1.1415229,0.64252526,0.012190403
-6.317219,0.59959763,0.013070358
-2.2659814,1.0485895,0.0086525
