,z
0,3.9933124
1,-2.9696636
2,-0.98339283
3,-2.0821028
4,0.83713853
5,4.2235284
6,1.7191309
7,-2.8785508
8,-3.9350812
9,5.548188
10,-0.8234921
11,-3.039014
12,5.706535
13,6.7891817
14,-6.1414013
15,-2.2238574
16,4.1470776
17,0.66089946
18,-0.91232085
19,-1.7502054
20,2.0163903
21,0.96218896
22,-5.372004
23,3.7597916
24,-2.634444
25,1.6320947
26,4.038814
27,4.184128
28,1.3193883
29,4.691901
30,-2.3590007
31,2.6441119
32,-4.0492034
33,6.2722964
34,2.253611
35,6.107801
36,-3.512293
37,-0.54277635
38,0.19358297
39,4.9597125
40,0.38839048
41,3.158536
42,1.1109647
43,2.9358816
44,7.30265
45,-5.9900413
46,8.00377
47,-4.96177
48,-7.7798147
49,1.913739
50,1.228452
