,z
0,1.194668
1,4.7931066
2,7.6675487
3,-3.07876
4,1.3288337
5,-2.289358
6,-2.38598
7,-2.0103354
8,-2.9585483
9,0.7124693
10,-0.29273483
11,3.1753616
12,-7.8343916
13,-0.74384093
14,6.4749036
15,3.018162
16,2.2295895
17,5.367386
18,1.7322522
19,3.26367
20,-5.4838758
21,3.0587983
22,-4.5221567
23,-8.2304735
24,4.7453156
25,3.3321285
26,-0.9655329
27,-5.18738
28,3.085135
29,-3.8808045
30,-5.7265463
31,3.1373048
32,-1.0870671
33,1.9309405
34,1.2565581
35,-2.9363415
36,1.9354949
37,1.9386492
38,-4.499135
39,-3.811901
40,4.250077
41,-3.1139796
42,-5.548277
43,0.8173827
44,-0.26540902
45,1.2880095
46,-0.94829893
47,1.278826
48,0.1528162
49,-0.6177003
50,3.3766787
51,1.9666903
52,-0.16915166
53,4.471617
54,5.1081076
55,3.262878
56,4.885255
