,z
0,-4.5925245
1,0.5832603
2,-3.082486
3,-3.5644126
4,2.2746887
5,4.7333937
6,2.2196903
7,-1.1638628
8,4.1657043
9,5.098081
10,-0.15356615
11,1.4396601
12,2.1432266
13,-9.122191
14,-3.7383072
15,3.7223947
16,2.5826886
17,-2.2383916
18,-5.136238
19,1.1727414
20,6.209323
21,1.7338723
22,6.7641926
23,3.7986515
24,-2.9413667
25,4.063386
26,-1.3289626
27,-5.479859
28,-1.0518897
29,-4.296464
30,-1.498984
31,3.1973176
32,5.9034753
33,-0.105872884
34,0.62395823
35,3.0146725
36,4.034619
37,0.043017935
38,1.4621449
39,5.728519
40,-1.1947603
41,-0.71081597
42,2.2813911
43,-2.0041397
44,-1.1444374
45,1.5344133
46,-2.5722675
47,2.947933
48,-1.5472732
49,1.9635143
50,2.3991165
51,-0.78580517
52,1.8500189
53,2.3391392
