,z
0,2.4447768
1,2.0970006
2,1.5791739
3,-2.2056963
4,3.6117058
5,-3.8480494
6,-1.087003
7,8.864086
8,-4.6950274
9,2.2131443
10,6.170713
11,0.0022041018
12,4.3823256
13,-3.0882106
14,2.2808268
15,1.2036524
16,1.1790282
17,0.17869149
18,-3.0364554
19,-1.2639027
20,-2.192748
21,0.5562682
22,7.0802326
23,0.89315784
24,2.7130578
25,-1.7638975
26,-1.2971201
27,4.220424
28,3.4231544
29,2.6233652
30,-0.91084146
31,3.9814012
32,-1.0554582
33,3.4771466
34,-4.8781996
35,-8.4624
36,-4.0971518
37,1.3736708
38,-2.048167
39,2.1819382
40,-2.3499804
41,0.06298972
42,-2.6793435
43,2.281814
44,-1.0545396
45,-1.5200882
46,3.1245468
47,6.0953665
48,2.6762826
49,-3.3159032
50,4.456872
51,-1.8973296
52,-2.6967695
53,1.5553316
54,3.5776725
55,5.4522786
56,0.86837816
57,-3.962569
58,1.8053628
59,0.4258474
60,5.694868
61,4.8946266
62,3.0173132
63,-1.6735101
64,-2.0805564
65,0.20550781
66,3.197755
67,3.1977386
68,-2.859813
69,-5.0481806
70,-0.5482096
