,z
0,0.0067948718
1,0.043871965
2,7.438438
3,3.8921313
4,5.2049327
5,-3.948754
6,-4.6910043
7,3.6148582
8,-1.5398396
9,-1.9781276
10,-2.1279826
11,-0.6451313
12,0.8721654
13,1.2776687
14,-0.30768624
15,-4.1351376
16,4.977955
17,1.6297424
18,-2.3254924
19,-0.1612527
20,3.1442423
21,2.3024514
22,-0.8792128
23,-2.7850852
24,1.7788832
25,0.6410468
26,-0.20474483
27,-2.0540135
28,2.8918612
29,-2.930863
30,-5.3991833
31,6.414141
32,3.6755905
33,2.7842255
34,1.0489198
35,-3.5983083
36,2.0665486
37,2.5998375
38,1.4494667
39,7.8900895
40,-2.6238153
