,z
0,4.921569
1,2.553714
2,-4.0512323
3,-0.7778876
4,4.918647
5,-2.155926
6,3.5364926
7,2.4060678
8,0.7206956
9,-0.25112116
10,5.0506163
11,-1.812505
12,5.30043
13,3.860131
14,-1.7928296
15,0.8549945
16,-5.6918344
17,2.350099
18,-1.37227
19,-3.3112867
20,5.9169292
21,-0.26472977
22,5.058606
23,-6.7405066
24,-0.1869191
25,1.8969415
26,-2.890668
27,-0.8934528
28,0.78255177
29,-6.5699368
30,0.54389226
31,-1.8844371
32,0.044576783
33,-2.8571017
34,2.5565825
35,1.3551196
36,4.936106
37,1.8305745
38,1.696907
39,3.5820987
40,1.0243126
41,3.5043147
42,1.8312744
43,-2.3005207
44,1.4611248
45,-4.461746
46,7.4969306
47,1.9979342
48,11.271886
49,-0.85451853
50,-0.9985084
51,-0.7578649
