,z
0,-0.6733713
1,0.025434017
2,-0.09232676
3,4.00018
4,-2.6716104
5,0.7543531
6,-1.1113267
7,-0.046409007
8,-0.15710425
9,0.4327421
10,-2.2160604
11,0.56181014
12,-1.3475924
13,3.6556463
14,5.218725
15,1.3104764
16,3.466064
17,2.2434645
18,-0.33584875
19,-1.2346004
20,-3.3219888
21,3.479243
22,9.450123
23,2.7329195
24,-3.86072
25,-0.8957232
26,-1.8084321
27,-1.8060241
28,1.5304698
29,-4.111718
30,3.8854225
31,-0.22080517
32,5.023578
33,4.9367166
34,0.96617204
35,-2.6738281
36,-4.9139433
37,-8.409477
38,1.5357134
39,1.7590214
40,2.7917407
41,2.746811
42,4.230437
43,3.686733
44,1.9067693
45,-1.9660548
46,-2.334636
47,-1.7944428
48,2.1317363
49,1.7995248
50,3.559483
51,8.933387
52,-3.3117018
