,z
0,-1.2895395
1,-1.1092846
2,5.7849655
3,0.7304467
4,-2.110458
5,0.5129119
6,-7.1592255
7,1.2071123
8,-3.8787134
9,2.077241
10,-1.6702465
11,-4.782034
12,-2.501008
13,-4.3500786
14,1.999103
15,5.071655
16,-0.80497897
17,0.28709388
18,2.9979086
19,6.5488906
20,-2.1571507
21,2.2007706
22,-3.0961776
23,-1.6267436
24,-2.2196043
25,4.1521974
26,-1.0212159
27,3.3310082
28,0.44716153
29,0.59833264
30,0.82812494
31,-0.6780624
32,1.0542057
33,-4.5933385
34,-0.1717677
35,-0.9727288
36,-0.29081592
37,-7.9540377
38,1.8663008
39,-1.99509
40,0.1703465
41,5.996953
42,0.019783348
43,-4.089971
44,-5.524685
45,3.6214366
46,2.4388301
47,-6.4579234
48,5.621682
49,-6.5378227
50,-10.854193
