,z
0,4.4559684
1,0.8913326
2,-4.884762
3,-3.2795198
4,5.198122
5,2.027392
6,1.8607181
7,-3.4450324
8,-3.55736
9,2.9544487
10,-3.0261376
11,-1.5251739
12,2.8334873
13,-0.17845356
14,3.0854208
15,-0.28075343
16,-5.431777
17,-1.4092456
18,2.0076952
19,0.54619074
20,5.486686
21,4.5108485
22,6.682154
23,2.2675722
24,1.3426218
25,-4.878723
26,-2.21543
27,5.0434237
28,-5.688837
29,-0.516927
30,0.868227
31,-2.5029764
32,-2.7173803
33,-3.9006264
34,-3.3377783
35,-8.127335
36,2.1367733
37,-0.18328094
38,3.3725998
39,-3.2501833
40,1.1142259
41,1.2081755
42,-1.5995795
43,0.12337257
44,-2.2151384
45,-1.0754273
46,-4.53315
47,4.8822236
48,0.05574354
49,-0.074324846
50,0.29266933
51,1.795244
52,-2.6217701
53,4.423744
54,-2.5650387
55,-4.43189
56,1.4608127
57,-3.639005
58,-1.5039625
59,-4.051747
60,-7.940778
