,z
0,1.2063012
1,-9.6622095
2,-2.072942
3,2.8966963
4,-2.8575048
5,-1.904762
6,-1.7258748
7,5.9045076
8,1.6972883
9,0.22184226
10,-0.47539
11,-6.671568
12,0.13794118
13,1.9993052
14,-0.9165373
15,1.9609495
16,0.78396577
17,3.3575988
18,0.57611805
19,1.9136902
20,0.332044
21,1.4423821
22,-0.9624095
23,4.2896914
24,-0.22896948
25,2.1765575
26,1.4828407
27,1.4774008
28,-2.434752
29,-1.0621647
30,-4.4499826
31,0.52643377
32,-3.8097088
33,-0.48859805
34,-0.4494069
35,3.559674
36,2.1269653
37,6.8013787
38,5.1239696
39,-1.335926
40,-2.2766037
41,-1.4925746
42,-4.781901
43,-6.939348
44,-1.9696256
