,z
0,2.6134434
1,7.3396735
2,-2.550069
3,-1.9030074
4,-0.8066931
5,1.9244441
6,-6.4137435
7,2.708996
8,-0.040838555
9,-5.2327247
10,-5.759022
11,-1.7913322
12,1.3471247
13,-0.29412577
14,4.018202
15,0.22991876
16,-2.3916883
17,-0.3207893
18,0.13527252
19,9.5332985
20,-0.072652265
21,-4.8087707
22,-3.902351
23,1.5344063
24,-2.0115266
25,4.1763334
26,-2.8905761
27,-2.3533041
28,-1.4956063
29,0.67114353
30,6.9556584
31,-11.261685
32,0.026678737
33,-1.5369558
34,1.6674702
35,-0.9418101
36,-0.37213156
37,5.41399
38,0.97156656
39,-5.390095
40,-4.3397274
41,-5.493882
42,-1.3844954
43,-1.6189568
44,1.4232795
45,-0.48139852
46,0.3417952
47,-6.59271
48,-6.1941266
49,-3.5897882
50,-3.177325
51,-2.269739
