,z
0,0.49943808
1,2.5810692
2,4.7013965
3,5.979585
4,1.1487006
5,-0.8941062
6,4.7540517
7,0.62724805
8,1.8853396
9,-0.26486135
10,-4.6227117
11,1.2474223
12,-1.125408
13,1.8734373
14,-3.7665808
15,0.5344518
16,-5.485005
17,-3.0780582
18,-3.2886634
19,1.8512657
20,3.4694362
21,-5.7429767
22,-1.8692976
23,0.041832853
24,-1.7602725
25,-8.295313
26,-4.014726
27,-2.515479
28,2.1924214
29,2.2098253
30,-4.714314
31,4.6260653
32,2.3165336
33,-0.48739725
34,4.283292
35,1.9958957
36,1.9918195
37,3.9847891
38,4.5711665
39,2.2540152
40,3.5958366
41,-0.367718
42,0.8366984
43,0.025136452
44,-4.534808
45,-4.2200203
46,7.9040747
47,-2.8681602
48,2.8595262
49,0.94097507
50,0.017239412
51,3.1420455
52,3.0443425
53,-7.364955
54,2.8083522
55,5.1804004
56,-0.19712399
57,-0.10912286
