,z
0,2.5863428
1,-0.45460856
2,2.3114405
3,6.0877967
4,-1.5422707
5,4.4761853
6,-0.12305693
7,7.646143
8,2.4189048
9,3.9867887
10,-7.030961
11,0.051298667
12,-0.80507165
13,2.8797145
14,-2.484904
15,-2.83578
16,-3.5140703
17,1.6633127
18,1.8998619
19,-2.0168982
20,2.3921924
21,-7.0468082
22,-0.8739049
23,0.93874836
24,-1.1096205
25,-6.6983986
26,0.32379583
27,-3.735962
28,0.71600604
29,0.8076063
30,0.9391695
31,-1.7359453
32,0.2881464
33,-2.0760741
34,-2.7553358
35,2.0682807
36,7.3694715
37,3.3322606
38,-0.73738664
39,5.893147
40,3.749367
41,3.3367755
42,-0.8962599
43,-0.94692576
44,1.2793174
45,1.1582161
46,4.0209317
47,1.3361421
48,-1.2183418
49,0.14688103
50,2.9935493
51,-4.419062
52,9.853307
