,z
0,2.5461426
1,-0.6858589
2,-0.52168643
3,4.206825
4,3.866832
5,5.1496196
6,1.5277345
7,6.6835904
8,3.899227
9,1.4688786
10,-4.712765
11,-3.3685906
12,1.4345052
13,1.3779768
14,-3.9517508
15,-0.049860448
16,2.8169415
17,1.0292267
18,-2.9620132
19,-1.5804192
20,0.86160487
21,-5.739577
22,-0.16327685
23,-4.057033
24,-0.28580126
25,-0.75828
26,2.4209278
27,0.09094836
28,0.34106916
29,2.8713064
30,7.4416037
31,-2.3100934
32,-3.4429283
33,4.291776
34,-6.1326337
35,3.4137
36,7.5106173
37,-4.399269
38,-1.8222257
39,2.1733751
40,-2.252158
41,1.0667844
42,1.1160603
43,-3.3271804
44,-3.1947064
45,-6.6988807
46,4.4371395
47,-1.1294568
48,4.90878
49,-0.8954183
50,-3.56404
51,1.8653681
52,6.558235
53,-1.0719274
54,-0.25186414
55,-3.6918252
56,-5.375788
57,2.1001878
58,-2.7293885
59,9.237972
60,-2.1192944
61,2.2205942
62,8.232613
63,7.944349
64,-8.612673
65,-9.72076
