,z
0,1.2850629
1,-2.8134477
2,3.7288938
3,0.74553734
4,-6.707301
5,-1.9229298
6,-7.3179636
7,-0.5997873
8,5.656044
9,-7.1597466
10,-5.292675
11,1.7912415
12,1.8258195
13,-1.3811284
14,-0.18487391
15,1.9209944
16,-0.9856842
17,-0.4250608
18,-3.3165712
19,6.5326123
20,7.9078727
21,0.5375142
22,3.3173563
23,-8.780054
24,-1.6951321
25,0.5688373
26,9.8757305
27,-7.7457685
28,2.026612
29,-7.2295537
30,-1.8573258
31,-0.1454764
32,-2.0530214
33,0.7808417
34,2.463458
35,3.8008318
36,-1.2504078
37,1.9491466
38,-0.40058333
39,2.7801633
40,-9.031214
41,-2.3803208
42,-3.0734339
43,2.516944
44,2.5354075
45,4.804914
46,-4.041693
