,z
0,1.1936674
1,1.732129
2,4.470881
3,4.745817
4,-5.4842134
5,5.108281
6,1.9331077
7,-0.7458721
8,-2.0075145
9,0.7105442
10,-2.3838263
11,1.2736807
12,-1.0869945
13,2.227132
14,1.3378022
15,-2.2835667
16,-3.8122308
17,3.0142093
18,-3.0885012
19,3.0817258
20,-4.5145493
21,3.2612762
22,-2.9461548
23,3.3840435
24,-0.9391371
25,7.679428
26,5.3742895
27,-5.5458856
28,-0.28176382
29,-0.16292572
30,-2.9920366
31,3.1427126
32,4.888052
33,0.81900245
34,-0.622511
35,3.3395996
36,-8.227874
37,0.4265128
38,6.536139
