,z
0,-6.6768165
1,-0.045879893
2,7.7070746
3,-7.265256
4,2.9507346
5,-2.1435022
6,-2.1676857
7,-7.5287423
8,7.8501167
9,3.6846342
10,1.8992842
11,4.9447784
12,-1.3094757
13,0.63020265
14,0.8786625
15,-6.93541
16,-3.2713087
17,0.32752657
18,8.048591
19,-2.043348
20,-2.5705316
21,-1.3945196
22,2.1962683
23,-6.359003
24,2.5866551
25,-5.089392
26,-4.1629777
27,-1.0249028
28,-5.4026895
29,0.9848458
30,7.949544
31,0.19722986
32,-5.7993264
33,-3.0709
34,1.5623336
35,6.831219
36,-4.947976
37,-6.0385556
38,1.636514
