,z
0,-2.3405972
1,2.9083385
2,1.0732903
3,2.5158257
4,-1.7616546
5,0.4747899
6,-1.272359
7,3.4878864
8,-10.679522
9,-2.715951
10,-4.2581425
11,-0.0850429
12,-0.7883453
13,-1.5513207
14,-6.2219753
15,-1.7571528
16,-6.8275313
17,-1.4043648
18,-0.7445197
19,7.471553
20,8.2148905
21,0.78528744
22,-3.4864483
23,4.5906644
24,-2.4738698
25,4.075022
26,2.890581
27,0.8585051
28,3.8701384
29,0.53581697
30,-2.3736866
31,0.3561357
32,0.8098066
33,0.9499549
34,1.85011
35,9.153971
36,2.7795095
37,-0.99613386
38,3.4248028
39,1.6345546
40,2.2359872
41,-7.4452343
42,-5.748292
43,1.616864
44,-1.7037987
45,10.130381
46,-2.0682697
47,-2.495197
