,z
0,0.3580908
1,0.4125448
2,2.9280214
3,2.5703075
4,0.093667455
5,-1.9013897
6,6.1145153
7,-2.5935006
8,-1.6430675
9,-0.43737218
10,-1.3216588
11,1.7551322
12,-4.0037193
13,-1.0440156
14,-5.3987103
15,-0.15654641
16,2.4888217
17,-1.7112166
18,0.50232875
19,0.76388335
20,6.005504
21,-2.978414
22,-3.0328465
23,0.7575746
24,4.5476403
25,-2.5589848
26,0.9876367
27,-0.46151888
28,1.217624
29,4.263061
30,1.2085596
31,-6.7926164
32,-3.0921805
33,-0.9147344
34,2.6004522
35,-4.089126
36,-0.3920938
37,-2.5659063
38,-0.18414435
39,-4.3555207
40,-1.7853323
41,3.5364258
42,-2.2140186
43,-8.462375
44,-4.393678
45,-0.09509604
46,3.2721598
47,-5.4008594
48,-0.6426377
49,-5.6378345
50,-1.2969582
51,2.3081439
52,-0.27124184
53,3.556036
54,0.24328601
55,6.697584
56,-1.3533353
57,2.7228434
58,6.362064
59,-0.10193953
60,2.831935
61,3.0958917
62,3.4628565
63,3.6862893
64,0.75876546
65,-0.37177983
